Message,Prediction
"funny fact nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife natural disasters just happens",Not Spam
"i sent my scores to sophas and i had to do secondary application for a few schools. i think if you are thinking of applying, do a research on cost also. contact joke ogunrinde, her school is one me the less expensive ones",Not Spam
"we know someone who you know that fancies you. call 09058097218 to find out who. pobox 6, ls15hb 150p",Not Spam
only if you promise your getting out as soon as you can. and you'll text me in the morning to let me know you made it in ok.,Not Spam
congratulations ur awarded either å£500 of cd gift vouchers & free entry 2 our å£100 weekly draw txt music to 87066 tncs www.ldew.com1win150ppmx3age16,Spam
"i'll text carlos and let you know, hang on",Not Spam
k.i did't see you.:)k:)where are you now?,Not Spam
no message..no responce..what happend?,Not Spam
get down in gandhipuram and walk to cross cut road. right side &lt;#&gt; street road and turn at first right.,Not Spam
you flippin your shit yet?,Not Spam
for real tho this sucks. i can't even cook my whole electricity is out. and i'm hungry.,Not Spam
free tones hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p provided by tones2you.co.uk,Spam
i'm wif him now buying tix lar...,Not Spam
call me when u finish then i come n pick u.,Not Spam
dear how is chechi. did you talk to her,Not Spam
what's up. do you want me to come online?,Not Spam
were somewhere on fredericksburg,Not Spam
"urgent! your mobile was awarded a å£1,500 bonus caller prize on 27/6/03. our final attempt 2 contact u! call 08714714011",Spam
when can ì_ come out?,Not Spam
"k, if u bored up just come to my home..",Not Spam
can ì_ call me at 10:10 to make sure dat i've woken up...,Not Spam
boy; i love u grl: hogolo boy: gold chain kodstini grl: agalla boy: necklace madstini grl: agalla boy: hogli 1 mutai eerulli kodthini! grl: i love u kano;-),Not Spam
a bloo bloo bloo i'll miss the first bowl,Not Spam
"yeah sure, give me a couple minutes to track down my wallet",Not Spam
"this is the 2nd time we have tried 2 contact u. u have won the å£750 pound prize. 2 claim is easy, call 087187272008 now1! only 10p per minute. bt-national-rate.",Spam
no it was cancelled yeah baby! well that sounds important so i understand my darlin give me a ring later on this fone love kate x,Not Spam
its not the same here. still looking for a job. how much do ta's earn there.,Not Spam
"gud gud..k, chikku tke care.. sleep well gud nyt",Not Spam
i'll reach in ard 20 mins ok...,Not Spam
wat ì_ doing now?,Not Spam
done it but internet connection v slow and canû÷t send it. will try again later or first thing tomo.,Not Spam
yup. izzit still raining heavily cos i'm in e mrt i can't c outside.,Not Spam
hi i'm sue. i am 20 years old and work as a lapdancer. i love sex. text me live - i'm i my bedroom now. text sue to 89555. by textoperator g2 1da 150ppmsg 18+,Not Spam
can you pls send me that company name. in saibaba colany,Not Spam
"i can't speak, bcaz mobile have problem. i can listen you but you cann't listen my voice. so i calls you later.",Not Spam
yes i think so. i am in office but my lap is in room i think thats on for the last few days. i didnt shut that down,Not Spam
yeah it's jus rite...,Not Spam
hey mate. spoke to the mag people. weû÷re on.  the is deliver by the end of the month. deliver on the 24th sept. talk later. ,Not Spam
i know you mood off today,Not Spam
alrite jod hows the revision goin? keris bin doin a smidgin. n e way u wanna cum over after college?xx,Not Spam
"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. i was gonna gibe you 'til one, but a midnight movie is not gonna get out til after 2. you need to come home. you need to getsleep and, if anything, you need to b studdying ear training.",Not Spam
lol ... i knew that .... i saw him in the dollar store,Not Spam
we tried to call you re your reply to our sms for a video mobile 750 mins unlimited text free camcorder reply or call now 08000930705 del thurs,Spam
hey gals...u all wanna meet 4 dinner at nìâte? ,Not Spam
aft i finish my lunch then i go str down lor. ard 3 smth lor. u finish ur lunch already?,Not Spam
"y cant u try new invention to fly..i'm not joking.,",Not Spam
"that would be good û_ i'll phone you tomo lunchtime, shall i, to organise something?",Not Spam
lol that would be awesome payback.,Not Spam
you'd like that wouldn't you? jerk!,Not Spam
"yeah there's barely enough room for the two of us, x has too many fucking shoes. sorry man, see you later",Not Spam
hmv bonus special 500 pounds of genuine hmv vouchers to be won. just answer 4 easy questions. play now! send hmv to 86688 more info:www.100percent-real.com,Spam
he remains a bro amongst bros,Not Spam
do you want a new nokia 3510i colour phone deliveredtomorrow? with 300 free minutes to any mobile + 100 free texts + free camcorder reply or call 08000930705,Spam
if you're not in my car in an hour and a half i'm going apeshit,Not Spam
"cool, text me when you head out",Not Spam
that's y i said it's bad dat all e gals know u... wat u doing now?,Not Spam
i know girls always safe and selfish know i got it pa. thank you. good night.,Not Spam
ok.. ìï finishing soon?,Not Spam
"life alle mone,eppolum oru pole allalo",Not Spam
"if i let you do this, i want you in the house by 8am.",Not Spam
daddy will take good care of you :),Not Spam
buy space invaders 4 a chance 2 win orig arcade game console. press 0 for games arcade (std wap charge) see o2.co.uk/games 4 terms + settings. no purchase,Spam
just do what ever is easier for you,Not Spam
but i have to. i like to have love and arrange.,Not Spam
hi darlin i hope you had a nice night i wish i had come cant wait to see you love fran ps i want dirty anal sex and i want a 10 man gang bang,Not Spam
"goodmorning, today i am late for  &lt;#&gt; min.",Not Spam
as per your request 'maangalyam (alaipayuthe)' has been set as your callertune for all callers. press *9 to copy your friends callertune,Not Spam
i wish u were here. i feel so alone,Not Spam
"awesome question with a cute answer: someone asked a boy \how is ur life?\"" . . he smiled &amp; answered: . . \""she is fine!\"" gudnite""",Not Spam
ur hmv quiz cash-balance is currently å£500 - to maximize ur cash-in now send hmv1 to 86688 only 150p/msg,Spam
so wat's da decision?,Not Spam
k.k:)advance happy pongal.,Not Spam
unless it's a situation where you go gurl would be more appropriate,Not Spam
"honeybee said: *i'm d sweetest in d world* god laughed &amp; said: *wait,u havnt met d person reading this msg* moral: even god can crack jokes! gm+gn+ge+gn:)",Not Spam
"thatåõs alrite girl, u know gail is neva wrong!!take care sweet and donåõt worry.c u l8tr hun!love yaxxx",Not Spam
winner!! as a valued network customer you have been selected to receivea å£900 prize reward! to claim call 09061701461. claim code kl341. valid 12 hours only.,Spam
there's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. if i can raise the dough for it how soon after landing will it sell. holla back.,Not Spam
ma head dey swell oh. thanks for making my day,Not Spam
ok... take ur time n enjoy ur dinner...,Not Spam
"sad story of a man - last week was my b'day. my wife did'nt wish me. my parents forgot n so did my kids . i went to work. even my colleagues did not wish. as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there. she said,'' do u mind if i go into the bedroom for a minute ? '' ''ok'', i sed in a sexy mood. she came out 5 minuts latr wid a cake...n my wife, my parents, my kidz, my friends n my colleagues. all screaming.. surprise !! and i was waiting on the sofa.. ... ..... ' naked...!",Not Spam
ok thanx... take care then...,Not Spam
k:)eng rocking in ashes:),Not Spam
i'm home...,Not Spam
"wiskey brandy rum gin beer vodka scotch shampain wine \kudi\""yarasu dhina vaazhthukkal. ..""",Not Spam
now thats going to ruin your thesis!,Not Spam
lemme know when you're here,Not Spam
1apple/day=no doctor. 1tulsi leaf/day=no cancer. 1lemon/day=no fat. 1cup milk/day=no bone problms 3 litres watr/day=no diseases snd ths 2 whom u care..:-),Not Spam
yay! finally lol. i missed our cinema trip last week :-(,Not Spam
how did you find out in a way that didn't include all of these details,Not Spam
great. hope you are using your connections from mode men also cos you can never know why old friends can lead you to today,Not Spam
for fear of fainting with the of all that housework you just did? quick have a cuppa,Not Spam
am i the only one who doesn't stalk profiles?,Not Spam
aiyar u so poor thing... i give u my support k... jia you! i'll think of u...,Not Spam
okie... thanx...,Not Spam
"sorry, i'll call later",Not Spam
mum say we wan to go then go... then she can shun bian watch da glass exhibition... ,Not Spam
"did you say bold, then torch later. or one torch and 2bold?",Not Spam
not yet chikku..wat abt u?,Not Spam
what was she looking for?,Not Spam
shopping? eh ger i toking abt syd leh...haha,Not Spam
i liked the new mobile,Not Spam
now am free call me pa.,Not Spam
wat r u doing?,Not Spam
"single line with a big meaning::::: \miss anything 4 ur \""best life\"" but",Not Spam
they just talking thats it de. they wont any other.,Not Spam
yep. i do like the pink furniture tho.,Not Spam
thanks honey but still haven't heard anything i will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!,Not Spam
then ì_ ask dad to pick ì_ up lar... ìï wan 2 stay until 6 meh...,Not Spam
"sorry pa, i dont knw who ru pa?",Not Spam
u will switch your fone on dammit!!,Not Spam
i'm at work. please call,Not Spam
well i will watch shrek in 3d!!b),Not Spam
long after i quit. i get on only like 5 minutes a day as it is.,Not Spam
hey you told your name to gautham ah?,Not Spam
happy new year princess!,Not Spam
"coffee cake, i guess...",Not Spam
i wont touch you with out your permission.,Not Spam
"sometimes we put walls around our hearts,not just to be safe from getting hurt.. but to find out who cares enough to break the walls &amp; get closer.. goodnoon:)",Not Spam
"\speak only when you feel your words are better than the silence...\"" gud mrng:-)""",Not Spam
"i got like $ &lt;#&gt; , i can get some more later though. get whatever you feel like",Not Spam
"k i'm ready,  &lt;#&gt; ?",Not Spam
"sir, i need velusamy sir's date of birth and company bank facilities details.",Not Spam
"rose needs water, season needs change, poet needs imagination..my phone needs ur sms and i need ur lovely frndship forever....",Not Spam
"wan2 win a meet+greet with westlife 4 u or a m8? they are currently on what tour? 1)unbreakable, 2)untamed, 3)unkempt. text 1,2 or 3 to 83049. cost 50p +std text",Spam
"i know you are thinkin malaria. but relax, children cant handle malaria. she would have been worse and its gastroenteritis. if she takes enough to replace her loss her temp will reduce. and if you give her malaria meds now she will just vomit. its a self limiting illness she has which means in a few days it will completely stop",Not Spam
are you this much buzy,Not Spam
ok. every night take a warm bath drink a cup of milk and you'll see a work of magic. you still need to loose weight. just so that you know,Not Spam
yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night,Not Spam
and smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*,Not Spam
sms auction - a brand new nokia 7250 is up 4 auction today! auction is free 2 join & take part! txt nokia to 86021 now!,Spam
"happy or sad , one thing about past is- \its no more\"" good morning :-):-).""",Not Spam
aathi..where are you dear..,Not Spam
"oh mr sheffield! you wanna play that game, okay. you're the boss and i'm the nanny. you give me a raise and i'll give you one!!",Not Spam
"k, wen ur free come to my home and also tel vikky i hav sent mail to him also.. better come evening il be free today aftr 6pm..:-)",Not Spam
ugh i don't wanna get out of bed. it's so warm.,Not Spam
ummmmmaah many many happy returns of d day my dear sweet heart.. happy birthday dear,Not Spam
doc prescribed me morphine cause the other pain meds aren't enough. waiting for my mom to bring it. that med should kick in fast so i'm gonna try to be on later,Not Spam
aiyah sorry lor... i watch tv watch until i forgot 2 check my phone.,Not Spam
dis is yijue. i jus saw ur mail. in case huiming havent sent u my num. dis is my num.,Not Spam
kay... since we are out already ,Not Spam
we have pizza if u want,Not Spam
"aight, i'll text you when i'm back",Not Spam
"aight, you close by or still down around alex's place?",Not Spam
had your mobile 11 months or more? u r entitled to update to the latest colour mobiles with camera for free! call the mobile update co free on 08002986030,Spam
you do what all you like,Not Spam
do you like shaking your booty on the dance floor?,Not Spam
"don't worry though, i understand how important it is that i be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. brb gonna go kill myself",Not Spam
anyway holla at me whenever you're around because i need an excuse to go creep on people in sarasota,Not Spam
