sentence,entity,label,score
Thousands of demonstrators have marched through London to protest the war in Iraq and demand the withdrawal of British troops from that country .,London,LOC,0.9997676
Thousands of demonstrators have marched through London to protest the war in Iraq and demand the withdrawal of British troops from that country .,Iraq,LOC,0.99985313
Thousands of demonstrators have marched through London to protest the war in Iraq and demand the withdrawal of British troops from that country .,British,MISC,0.99975556
"Iranian officials say they expect to get access to sealed sensitive parts of the plant Wednesday , after an IAEA surveillance system begins functioning .",Iranian,MISC,0.9997583
"Iranian officials say they expect to get access to sealed sensitive parts of the plant Wednesday , after an IAEA surveillance system begins functioning .",IAEA,ORG,0.99767715
"Helicopter gunships Saturday pounded militant hideouts in the Orakzai tribal region , where many Taliban militants are believed to have fled to avoid an earlier military offensive in nearby South Waziristan .",Orakzai,LOC,0.89236456
"Helicopter gunships Saturday pounded militant hideouts in the Orakzai tribal region , where many Taliban militants are believed to have fled to avoid an earlier military offensive in nearby South Waziristan .",Taliban,MISC,0.8090161
"Helicopter gunships Saturday pounded militant hideouts in the Orakzai tribal region , where many Taliban militants are believed to have fled to avoid an earlier military offensive in nearby South Waziristan .",South Waziristan,LOC,0.99763393
"U.N. relief coordinator Jan Egeland said Sunday , U.S. , Indonesian and Australian military helicopters are ferrying out food and supplies to remote areas of western Aceh province that ground crews can not reach .",U,ORG,0.9969502
"U.N. relief coordinator Jan Egeland said Sunday , U.S. , Indonesian and Australian military helicopters are ferrying out food and supplies to remote areas of western Aceh province that ground crews can not reach .",N,ORG,0.98797405
"U.N. relief coordinator Jan Egeland said Sunday , U.S. , Indonesian and Australian military helicopters are ferrying out food and supplies to remote areas of western Aceh province that ground crews can not reach .",Jan Egeland,PER,0.99925554
"U.N. relief coordinator Jan Egeland said Sunday , U.S. , Indonesian and Australian military helicopters are ferrying out food and supplies to remote areas of western Aceh province that ground crews can not reach .",U. S.,LOC,0.95068717
"U.N. relief coordinator Jan Egeland said Sunday , U.S. , Indonesian and Australian military helicopters are ferrying out food and supplies to remote areas of western Aceh province that ground crews can not reach .",Indonesian,MISC,0.9993697
"U.N. relief coordinator Jan Egeland said Sunday , U.S. , Indonesian and Australian military helicopters are ferrying out food and supplies to remote areas of western Aceh province that ground crews can not reach .",Australian,MISC,0.9994942
"U.N. relief coordinator Jan Egeland said Sunday , U.S. , Indonesian and Australian military helicopters are ferrying out food and supplies to remote areas of western Aceh province that ground crews can not reach .",Aceh,LOC,0.99814177
"Mr. Egeland said the latest figures show 1.8 million people are in need of food assistance - with the need greatest in Indonesia , Sri Lanka , the Maldives and India .",E,PER,0.99943584
"Mr. Egeland said the latest figures show 1.8 million people are in need of food assistance - with the need greatest in Indonesia , Sri Lanka , the Maldives and India .",##gel,PER,0.9388246
"Mr. Egeland said the latest figures show 1.8 million people are in need of food assistance - with the need greatest in Indonesia , Sri Lanka , the Maldives and India .",##and,PER,0.94994813
"Mr. Egeland said the latest figures show 1.8 million people are in need of food assistance - with the need greatest in Indonesia , Sri Lanka , the Maldives and India .",Indonesia,LOC,0.99981433
"Mr. Egeland said the latest figures show 1.8 million people are in need of food assistance - with the need greatest in Indonesia , Sri Lanka , the Maldives and India .",Sri Lanka,LOC,0.9996238
"Mr. Egeland said the latest figures show 1.8 million people are in need of food assistance - with the need greatest in Indonesia , Sri Lanka , the Maldives and India .",Maldives,LOC,0.9995307
"Mr. Egeland said the latest figures show 1.8 million people are in need of food assistance - with the need greatest in Indonesia , Sri Lanka , the Maldives and India .",India,LOC,0.9997826
He said last week 's tsunami and the massive underwater earthquake that triggered it has affected millions in Asia and Africa .,Asia,LOC,0.99978846
He said last week 's tsunami and the massive underwater earthquake that triggered it has affected millions in Asia and Africa .,Africa,LOC,0.9997415
"Aid is being rushed to the region , but the U.N. official stressed that bottlenecks and a lack of infrastructure remain a challenge .",U. N,ORG,0.8861638
