language,english_text,translated_text
ta,"Some 14 months later, the second calf is born.","14 மாதங்களுக்குப் பிறகு, இரண்டாவது கன்று பிறக்கிறது."
ta,"""Senior advocate Kapil Sibal, who was appearing for Chidambaram, said the condition was not justified for a member of Parliament and """"he would not run away anywhere.""""""","சிதம்பரத்திற்கு எதிராக வழக்கு தொடர்ந்த மூத்த வழக்கறிஞர் கபிலு சிபால், நாடாளுமன்ற உறுப்பினருக்கு இந்த நிலை நியாயமற்றது என்றும், ""அவர் எங்கும் ஓட மாட்டார்"" என்றும் கூறினார்."
ta,This photo was taken then.,இந்த புகைப்படம் அப்போதே எடுக்கப்பட்டது.
ta,So far two rounds of the JWG meeting have been held.,இதுவரை JWG கூட்டத்தின் இரண்டு சுற்றுகள் நடைபெற்றுள்ளன.
ta,"The life of the world is nothing but play and diversion, and the abode of the Hereafter is surely better for those who are Godwary. Do you not exercise your reason?","இவ்வுலக வாழ்க்கை விளையாட்டாகவும், விளையாட்டாகவும் இருக்கிறது; ஆனால், நிச்சயமாக மறுமை வீடு பயபக்தியுடையவர்களுக்கு மேலானது. நீங்கள் (இதை) உணர்ந்து கொள்ள வேண்டாமா?"
hi,"However, Paes, who was partnering Australia's Paul Hanley, could only go as far as the quarterfinals where they lost to Bhupathi and Knowles","हालांकि, ऑस्ट्रेलिया के पॉल हैंली के साथ साझेदारी करने वाले पेस क्वार्टरफाइनल तक ही पहुंच सके जहां उन्होंने भुपाटी और नॉल्स से हार दर्ज की।"
hi,"Whosoever desires the reward of the world, with Allah is the reward of the world and of the Everlasting Life. Allah is the Hearer, the Seer.",जो शख़्श दुनिया का बदला चाहता है तो दुनिया का बदला और आख़िरत का बदला ख़ुदा के पास है और ख़ुदा तो बड़ा सुनने वाला देखता है
hi,The value of insects in the biosphere is enormous because they outnumber all other living groups in measure of species richness.,जीवमंडल में कीड़ों का मूल्य बहुत बड़ा है क्योंकि वे प्रजातियों की मात्रा में अन्य सभी जीवित समूहों से अधिक हैं।
hi,Mithali To Anchor Indian Team Against Australia in ODIs,मिताली ने वनडे में ऑस्ट्रेलिया के खिलाफ भारतीय टीम को एंकर किया
hi,"After the assent of the Honble President on 8thSeptember, 2016, the 101thConstitutional Amendment Act, 2016 came into existence","माननीय राष्ट्रपति की 8 सितंबर, 2016 को सहमति के बाद 101वां संविधान संशोधन अधिनियम, 2016 अस्तित्व में आया।"
te,Have you heard about Foie gras?,మీరు ఫూయి గ్రా గురించి విన్నారా?
te,I never thought of acting in films.,నేను సినిమాల్లో నటించడం గురించి ఎప్పుడూ ఆలోచించలేదు.
te,Installed Software,ఇన్స్టాల్ చేయబడిన సాఫ్ట్వేర్
te,"A case has been registered under Sections 302 and 376, IPC.",ఈ కేసును 302 మరియు 376 సెక్షన్ల కింద నమోదు చేశారు.
te,"Of this, 10 people succumbed to the injuries.",వీటిలో 10 మంది గాయాలకు గురయ్యారు.
kn,Hes a scientist.,ಅವನು ವಿಜ್ಞಾನಿ.
kn,"'But we speak the truth aur ye sach hai ke Gujarat mein vikas pagal hogaya hai,'' Rahul Gandhi further said in Banaskantha",'ಆದರೆ ನಾವು ಸತ್ಯವನ್ನು ಹೇಳುತ್ತೇವೆ. ' ಎಂದು ರಾಹುಲ್ ಗಾಂಧಿ ಬನಸ್ಕಾಂತದಲ್ಲಿ ಹೇಳಿದರು.
kn,8 lakh crore have been looted.,8 ಲಕ್ಷ ಕೋಟಿ ರೂ. ಗಳನ್ನು ಲೂಟಿ ಮಾಡಲಾಗಿದೆ.
kn,I read a lot into this as well.,ನಾನು ಕೂಡ ಈ ಬಗ್ಗೆ ಬಹಳಷ್ಟು ಓದಿದ್ದೇನೆ.
kn,She was found dead with the phone's battery exploded close to her head the following morning.,ಮರುದಿನ ಬೆಳಿಗ್ಗೆ ಆಕೆಯ ತಲೆಯ ಬಳಿ ಫೋನ್ ಬ್ಯಾಟರಿ ಸ್ಫೋಟಗೊಂಡು ಮೃತಪಟ್ಟಿದ್ದಾಳೆ.
ml,The plot of the movie revolves around the life of two cancer patients Kizie and Manny.,കാൻസർ രോഗികളായ കിസിയും മാണിയും ജീവിക്കുന്ന കഥയാണ് ചിത്രത്തിന്റെ കഥ.
ml,The same as on the stone.,കല്ലില് ഉള്ള അതേ കാര്യം തന്നെ.
ml,"Oommen Chandy, Mullappally Ramachandran, Ramesh Chennithala and P.K.","ഓമന് ചാണ്ടി, മുല്ലപ്പല്ലി രാമചന്ദ്രൻ, രമേശ് ചെന്നിതാല, പി. കെ."
ml,Many were arrested and jailed.,പലരെയും അറസ്റ്റ് ചെയ്ത് ജയിലിലടച്ചു.
ml,what has happened?,എന്താണ് സംഭവിച്ചത്?
