Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation,Hour,Traffic Density Score,Congestion_Index,Predicted_Traffic
1900-01-01 00:00:00,10,Tuesday,13,2,2,24,41,normal,0,78.0,0.14695340501792115,Moderate
1900-01-01 00:15:00,10,Tuesday,14,1,1,36,52,normal,0,106.5,0.1863799283154122,Heavy
1900-01-01 00:30:00,10,Tuesday,10,2,2,32,46,normal,0,95.0,0.16487455197132617,Moderate
1900-01-01 00:45:00,10,Tuesday,10,2,2,36,50,normal,0,105.0,0.17921146953405018,Heavy
1900-01-01 01:00:00,10,Tuesday,11,2,1,34,48,normal,1,99.0,0.17204301075268819,Moderate
1900-01-01 01:15:00,10,Tuesday,15,1,1,39,56,normal,1,115.0,0.2007168458781362,Heavy
1900-01-01 01:30:00,10,Tuesday,14,2,2,27,45,normal,1,86.5,0.16129032258064516,Moderate
1900-01-01 01:45:00,10,Tuesday,13,2,1,20,36,normal,1,66.0,0.12903225806451613,Moderate
1900-01-01 02:00:00,10,Tuesday,7,0,0,26,33,normal,2,72.0,0.11827956989247312,Moderate
1900-01-01 02:15:00,10,Tuesday,13,0,0,34,47,normal,2,98.0,0.16845878136200718,Moderate
1900-01-01 02:30:00,10,Tuesday,15,2,0,38,55,normal,2,111.0,0.1971326164874552,Heavy
1900-01-01 02:45:00,10,Tuesday,5,2,0,37,44,normal,2,98.5,0.15770609318996415,Moderate
1900-01-01 03:00:00,10,Tuesday,9,1,0,34,44,normal,3,94.5,0.15770609318996415,Moderate
1900-01-01 03:15:00,10,Tuesday,8,0,2,35,45,normal,3,99.5,0.16129032258064516,Moderate
1900-01-01 03:30:00,10,Tuesday,7,0,0,34,41,normal,3,92.0,0.14695340501792115,Moderate
1900-01-01 03:45:00,10,Tuesday,10,1,2,38,51,normal,3,109.5,0.1827956989247312,Heavy
1900-01-01 04:00:00,10,Tuesday,82,7,3,10,102,low,4,116.5,0.3655913978494624,Heavy
1900-01-01 04:15:00,10,Tuesday,71,3,0,30,104,normal,4,147.5,0.3727598566308244,Heavy
1900-01-01 04:30:00,10,Tuesday,89,10,2,10,111,low,4,123.0,0.3978494623655914,Heavy
1900-01-01 04:45:00,10,Tuesday,77,3,0,18,98,low,4,123.5,0.35125448028673834,Heavy
1900-01-01 05:00:00,10,Tuesday,90,2,0,22,114,normal,5,146.0,0.40860215053763443,Heavy
1900-01-01 05:15:00,10,Tuesday,84,1,7,23,115,normal,5,156.0,0.4121863799283154,Heavy
